"id","timestamp","value","unit"
H3cHB6R,2021-12-19T00:00:00Z,1161.19,Wh
MT8-MzP,2021-12-19T00:00:00Z,749.641,Wh
vaUh7sD,2021-12-19T00:00:00Z,1439.42,Wh
M1vvYjg,2021-12-19T00:00:00Z,615.706,Wh
yVBYfqP,2021-12-19T00:00:00Z,1030.19,Wh
QjoXIVJ,2021-12-19T00:00:00Z,1248.87,Wh
EKc2b21,2021-12-19T00:00:00Z,729.092,Wh
Wb4XUzw,2021-12-19T00:00:00Z,228.562,Wh
PRekVvR,2021-12-19T00:00:00Z,554.621,Wh
dow4tm3,2021-12-19T00:00:00Z,243.804,Wh
YJTE53Z,2021-12-19T00:00:00Z,507.067,Wh
xsj-jPj,2021-12-19T00:00:00Z,786.149,Wh
z_Tw8M1,2021-12-19T00:00:00Z,773.047,Wh
0wmxLE8,2021-12-19T00:00:00Z,322.316,Wh
lKHbsZp,2021-12-19T00:00:00Z,831.474,Wh
eYHLrpD,2021-12-19T00:00:00Z,601.607,Wh
S6NEAiS,2021-12-19T00:00:00Z,955.656,Wh
aEiGa8Z,2021-12-19T00:00:00Z,,Wh
3IzD45m,2021-12-19T00:00:00Z,99.3855,Wh
k2aMkIq,2021-12-19T00:00:00Z,587.722,Wh
Ri-HmHo,2021-12-19T00:00:00Z,530.857,Wh
nKTVhGg,2021-12-19T00:00:00Z,520.435,Wh
orgI08k,2021-12-19T00:00:00Z,478.055,Wh
S11k9iy,2021-12-19T00:00:00Z,151.094,Wh
YlzYvVU,2021-12-19T00:00:00Z,44.7306,Wh
p3kdbXu,2021-12-19T00:00:00Z,303.464,Wh
R1GE7r7,2021-12-19T00:00:00Z,93.2348,Wh
pr-n7Gl,2021-12-19T00:00:00Z,92.8551,Wh
Pe9cjye,2021-12-19T00:00:00Z,52.3084,Wh
QaXUOAS,2021-12-19T00:00:00Z,220.21,Wh
BqHFXvK,2021-12-19T00:00:00Z,628.653,Wh
TBOy4bI,2021-12-19T00:00:00Z,,Wh
BZ3kKbT,2021-12-19T00:00:00Z,233.398,Wh
